UnofficialPublication1,http://A1QL5itg89ZKBgp.com,-455290002981384555,http://VJ5SEhJVPYSrj.com,Research1,University1,VisitingProfessor15,VisitingProfessor1
UnofficialPublication2,http://cTVwsw.com,8626153978579260841,http://GG1RNVypLo9DGEU.com,Research183,Specification6,AssociateProfessor2,SystemsStaff19
UnofficialPublication3,http://9zvQBDkpQC.com,-405867349580046994,http://OjBebhNnBq9Cr.com,Research31,Professor5,Director7,University1
UnofficialPublication4,http://hyBjGNeBupPco4.com,7670330986069162070,http://ncgVtXD9oYHtgKj.com,Research159,AdministrativeStaff11,Director12,Person196
UnofficialPublication5,http://wJ6Sf.com,-7417941385928742544,http://V8gyw.com,Research79,TeachingAssistant19,PostDoc3,AssociateProfessor15
UnofficialPublication6,http://mLbBugM0p0GQc4d.com,-7088097504987698425,http://3pavBShyVfJD.com,Research104,Publication195,AdministrativeStaff18,TeachingAssistant10
UnofficialPublication7,http://JzcfukN8NR72NHQ.com,-685538736901508313,http://2SBsp.com,Research155,ResearchAssistant14,PostDoc13,Organization1
UnofficialPublication8,http://Bz4RTW.com,-6622840623539515354,http://sgpKFnqOkaelT.com,Research199,TeachingAssistant19,Faculty10,Institute20
UnofficialPublication9,http://0iqcNkhHQ.com,4439765522074039234,http://Lw7kBtLf8dwU5.com,Research85,Director7,FullProfessor22,UnofficialPublication9
UnofficialPublication10,http://vTKG1OGS8mm.com,2057616940190797788,http://7QoIsi4C3DxEYUH.com,Research161,UnofficialPublication8,Student314,Faculty6
UnofficialPublication11,http://IAxoFEpApdvONBe.com,5864945873944696277,http://VDJG783236YOGpm.com,Research134,Faculty11,Director1,University1
UnofficialPublication12,http://ceGXCTKErXFgv1v.com,-8141473677763924284,http://dYKMr5.com,Research172,PostDoc16,Director14,SystemsStaff9
UnofficialPublication13,http://4zzcdfTREWbez.com,-3390173839211304867,http://g8QfYKsFOVTon8n.com,Research106,Book26,Lecturer1,UndergraduateStudent171
UnofficialPublication14,http://4CCyPHJK.com,6484454150303825787,http://e91yWBikRWd1.com,Research188,AssistantProfessor13,ClericalStaff1,GraduateStudent23
UnofficialPublication15,http://JsVulcUX.com,-7746255441853461648,http://52Vprz.com,Research137,Person170,Dean7,Course17
UnofficialPublication16,http://Q38GIgmwS.com,9011748858906757358,http://6KumY7bf.com,Research173,Course3,Chair14,ResearchAssistant54
UnofficialPublication17,http://Hw9fo.com,-504927223731042048,http://E662fQuO.com,Research52,Director5,VisitingProfessor10,Employee81
UnofficialPublication18,http://34TGxTG8QDxQIeq.com,4995297620220261710,http://FUJ0SDdtaMTB.com,Research119,Lecturer6,GraduateStudent248,Article2
UnofficialPublication19,http://OgPbXAg8.com,7251094297459652643,http://cl9j8PBX1KBu.com,Research58,Faculty10,VisitingProfessor6,Lecturer21
UnofficialPublication20,http://5RB0hW.com,1286889633332029655,http://iNY2k3b6ResQ.com,Research149,Director1,Employee93,Schedule13
