Software1,http://p2M5V4IC4x2.com,-6794310402651299674,http://jE4odL9n.com,Research126,GraduateStudent92,Director13,Professor3,Software98,PostDoc11
Software2,http://Sq4FxAWIaNP.com,263430349294653149,http://3Jdi17ecirR9O3.com,Research2,Organization1,Student397,Software85,ConferencePaper155,Dean2
Software3,http://BdLho4rI1v.com,-8568865336923971922,http://ZdvNA0Zkx.com,Research66,Faculty12,VisitingProfessor12,Director13,JournalArticle107,ClericalStaff18
Software4,http://dfsYk3se.com,-4673470461201141323,http://dvnyce2bp.com,Research10,Institute9,UndergraduateStudent103,Schedule17,UnofficialPublication31,Program15
Software5,http://zQpah.com,7185355341708594961,http://aud1aVhyhK.com,Research85,JournalArticle14,Student260,AssistantProfessor2,Book23,Organization1
Software6,http://y189dNVXy.com,-7350202499383567294,http://1flsAs.com,Research122,ClericalStaff20,UndergraduateStudent106,Course1,Publication41,FullProfessor14
Software7,http://2J2qIaF.com,-2068938722611215005,http://LlJfk7.com,Research148,TeachingAssistant16,ClericalStaff1,UndergraduateStudent121,JournalArticle148,SystemsStaff10
Software8,http://HOPfKH.com,4602209665961919558,http://wvaOZV63J.com,Research193,Work53,VisitingProfessor5,GraduateStudent235,ConferencePaper42,College72
Software9,http://AqF3lovrsiV0uzp.com,-6734572569424088724,http://KD76pNQzMf.com,Research103,Employee97,FullProfessor4,Director3,Manual43,Professor3
Software10,http://tdjhFZe58.com,-749284682731861216,http://Ay4TnIbYhP.com,Research13,UnofficialPublication13,ResearchAssistant56,Employee56,Book1,UndergraduateStudent197
Software11,http://G2F34.com,3773524684958805034,http://0GTUAXadEP9.com,Research5,ResearchAssistant38,SystemsStaff27,Publication167,ConferencePaper231,PostDoc1
Software12,http://pMBLApPy.com,3740047494729583913,http://n3gw3qY.com,Research84,Article42,UndergraduateStudent63,Specification16,Book10,Research32
Software13,http://edMaJu056xbbzqm.com,1066666749143365945,http://dgqa0hq9cr.com,Research151,AssociateProfessor5,Person233,College50,Publication47,Faculty3
Software14,http://OM9bJbUoxm.com,762898818971324820,http://HXDZqj75idNroKd.com,Research133,Specification29,Student62,ConferencePaper43,Software23,Department3
Software15,http://GyslAIeUWddFdBy.com,9130467423217921776,http://avm9s1YwN0j.com,Research97,College95,AssociateProfessor7,University1,Article32,Institute16
Software16,http://YmTnwBgprLjI.com,-1871908131358071383,http://LpkS3o.com,Research78,Person322,Dean14,UndergraduateStudent191,UnofficialPublication5,Faculty3
Software17,http://BHsH3Uf.com,6135412096753625612,http://kSvBsvhPjmff9oK.com,Research55,Specification29,Dean17,College62,Software83,TechnicalReport33
Software18,http://dLBZiB6uB9HlR4N.com,7474899362286228112,http://f9lwMAKkYc6wltn.com,Research51,GraduateStudent190,SystemsStaff14,Student143,Specification26,ResearchGroup14
Software19,http://ZfMpJMETE.com,5647287976104981117,http://azsuaH.com,Research37,UndergraduateStudent1,ClericalStaff10,JournalArticle14,TechnicalReport9,Professor6
Software20,http://EU2cROGqWkeON.com,2263841646112600183,http://BAApPlVFcS4dCq.com,Research35,AssociateProfessor12,Student485,Person64,Article36,Article16
Software21,http://LbFSdvmtXr2rIa.com,-1466033179240374895,http://H3kcdjPpY30.com,Research100,FullProfessor3,FullProfessor9,Professor15,Specification1,Dean5
Software22,http://xZJtssXd.com,6917309821185102519,http://2rz4XasM.com,Research23,Software91,Director7,AdministrativeStaff26,Manual66,Course19
Software23,http://qJcEzT.com,995125962004021455,http://xFM0to2IE.com,Research20,Research85,Student63,College60,Manual16,JournalArticle131
Software24,http://1SAujxL6O.com,7513611875725058043,http://tmyRWzZP.com,Research161,ConferencePaper123,VisitingProfessor15,University1,JournalArticle77,Faculty14
Software25,http://4gzM1LC.com,5505924803760837617,http://MMgsTVMOpkpdjtz.com,Research100,Professor18,AssociateProfessor14,JournalArticle64,Software71,TeachingAssistant13
Software26,http://XPCbPmgCqmmFSW.com,-4683858034316288033,http://ed7J3.com,Research52,FullProfessor1,AssociateProfessor9,College87,JournalArticle4,TeachingAssistant22
Software27,http://aiisq1azeQJdb6.com,-2146142831604542796,http://RbPoG2py.com,Research44,Department2,Dean4,ClericalStaff14,Specification25,Publication109
Software28,http://LbUyfLgr5bb.com,-1778126811968769122,http://ayDEpwasH.com,Research113,Department4,Lecturer61,UndergraduateStudent118,JournalArticle159,TeachingAssistant23
Software29,http://UkFyvcgiE2.com,1325902987769501497,http://zbuE0xvKSpMKuN.com,Research168,SystemsStaff24,AssistantProfessor3,University1,Publication164,Department1
Software30,http://j6YpzW8c89Co0X.com,-4591937468785048856,http://yPoGjdYKt.com,Research122,Schedule11,PostDoc15,FullProfessor13,Publication26,Book21
Software31,http://IKnvR.com,-3652386994937568621,http://k8xGBu6yuG87p.com,Research154,College15,PostDoc25,UnofficialPublication21,UnofficialPublication44,ConferencePaper78
Software32,http://AYbFr.com,4482281532062363978,http://uwFP83I.com,Research38,GraduateCourse14,VisitingProfessor2,Organization1,Article41,Specification6
Software33,http://pPQ3Q.com,-5297373199251485841,http://aurg9.com,Research1,College96,GraduateStudent275,Employee61,Article45,UndergraduateStudent17
Software34,http://v1ZAkpa3R.com,-5475597593083613088,http://YB81oYB.com,Research164,Software73,Dean6,University1,Article1,TechnicalReport43
Software35,http://J4Bfe1mtbP.com,-7780242143246517110,http://dRtep28MZpaR.com,Research67,Manual65,Director2,Manual9,TechnicalReport15,Organization1
Software36,http://3eKo173vdZlRVY3.com,2075920854646597095,http://hfx8n7PHe.com,Research166,Department5,Chair13,UnofficialPublication44,UnofficialPublication18,Article21
Software37,http://rMBt13zR7e3GL.com,1034359662149318129,http://97d5O2XMq7GFBY.com,Research192,Person4,TeachingAssistant29,Employee84,Publication77,Article3
Software38,http://EG2DtFWdOKk.com,-3642341529374701755,http://GKf0ocjY.com,Research196,Specification12,UndergraduateStudent50,Article42,Manual54,Professor10
Software39,http://bQbKV0UedbcgcA8.com,-7531522179023878761,http://JebjzL1VUzv.com,Research53,Student332,UndergraduateStudent176,Schedule2,Specification4,Institute9
Software40,http://Uqunq.com,-8187863678533943400,http://oQ1pl.com,Research26,ResearchAssistant13,Chair15,FullProfessor24,Specification30,PostDoc12
Software41,http://LyCbI2P.com,8169431202675001741,http://eNGqLNBNWYS.com,Research80,Student80,PostDoc2,Director9,Software29,Software100
Software42,http://wemdo5HtHeI.com,3355355880312227385,http://il7Qs.com,Research119,ConferencePaper146,FullProfessor8,JournalArticle195,TechnicalReport15,Professor12
Software43,http://S3AHJSe.com,3314248842594743752,http://MNlE1QHpdbo.com,Research109,AdministrativeStaff19,PostDoc4,AssociateProfessor18,ConferencePaper237,Schedule1
Software44,http://Ce0vRooVEw.com,4313952842970454610,http://XeOGs5Xmtr.com,Research44,VisitingProfessor10,PostDoc23,Dean20,Manual58,Schedule16
Software45,http://ZjdliAMw.com,-8155012911217195588,http://7DITPJM7Kd.com,Research71,Employee60,Dean5,Faculty9,Article19,UnofficialPublication42
Software46,http://gaDbebFmuCA1.com,8308402301947066013,http://QnA24Sac.com,Research86,SystemsStaff13,UndergraduateStudent147,Employee94,UnofficialPublication21,PostDoc5
Software47,http://IYwypQRSIowd.com,-3358965155087274093,http://a95Vc.com,Research5,Publication10,UndergraduateStudent170,ResearchAssistant34,Publication17,Manual50
Software48,http://sVWPu.com,-6678227073752347911,http://rSSCAwtnBXiWJUk.com,Research154,Director8,Person391,Dean8,Manual4,Schedule6
Software49,http://l63QJocceIt.com,-1966140788942610868,http://zSN8DtqS.com,Research155,Institute5,Person220,Employee67,JournalArticle64,Program18
Software50,http://Xw5MKEcNc.com,274673305508707706,http://upfKLzU76.com,Research165,Department3,Director1,TechnicalReport13,TechnicalReport7,Lecturer35
Software51,http://mkFPsD1FII9Y.com,8344355331446219898,http://E57ayzurgTd2uvE.com,Research181,FullProfessor22,AssociateProfessor10,Schedule10,Specification17,Organization1
